consulta	nombre	categoria	direccion	pagina_web	telefono
carniceria	Comercializadora de Alimentos los Cisnes LTDA.	Carnicerias	Av Buzeta 4328 CERRILLOS - RM	WWW.GANADERAPURRANQUE.CL	(+56)225520940
carniceria	Cecinas Convento Viejo	Carnicerias	4 Norte 1486 Talca - VII Región	NA	(+56)968780818
carniceria	Carniceria San Mateo	Carnicerias	Bandera 7488 Antofagasta - II Región	www.carniceriasanmateo.cl	(+56)964969935
carniceria	Madimac Ltda	Maquinaria Para Carnicerias	Neptuno 02136 Temuco - IX Región	NA	(+56)452731602
carniceria	Reparaciones Jose Canales	Reparacion De Maquinaria Para Carnicerias Y Rotiserias	Pje Alberto Olbretch 3266 Talcahuano - VIII Región	NA	(+56)413178682
carniceria	Car Bri-Servicio Tecnico	Reparacion De Maquinaria Para Carnicerias Y Rotiserias	Reinicke 198 Villa Alemana - V Región	NA	(+56)999774261
carniceria	Comercial Austral	Reparacion De Maquinaria Para Carnicerias Y Rotiserias	Av Colón 1873 Valparaíso - V Región	NA	(+56)322251894
carniceria	Servicio y Reparacion de Maquinaria LTDA.	Reparacion De Maquinaria Para Carnicerias Y Rotiserias	Pje Villaseca 509 ÑUÑOA - RM	NA	(+56)225845454
carniceria	Tmc Servicio Tecnico	Reparacion De Maquinaria Para Carnicerias Y Rotiserias	Tucapel 1274 Temuco - IX Región	NA	(+56)452856226
carniceria	Supermercado del Pollo	Reparacion De Maquinaria Para Carnicerias Y Rotiserias	Caupolicán 740 Concepción - VIII Región	NA	(+56)412236661
