consulta	nombre	categoria	direccion	pagina_web	telefono
ferreteria	Ferretria Comercial Renca	Ferreterias	Av Condell 1381 RENCA - RM	NA	(56)227671720
ferreteria	Ferreteria Cueto	Ferreterias	Freire 428 Concepción - VIII Región	NA	(56)412155871
ferreteria	Ferreteria Estacion	Ferreterias	Av Manuel Rodríguez 1199 Temuco - IX Región	NA	(56)452319113
ferreteria	Ferrerteria Aliaga	Ferreterias	Ferrocarril Iquique 585 Cabildo - V Región	NA	(56)332761157
ferreteria	Ferreteria San Gregorio	Ferreterias	Guayanas 490 Los Andes - V Región	NA	(56)342904213
ferreteria	El Arrayan Ferreteria	Ferreterias	San Francisco 2550 SAN Miguel - RM	NA	(56)225566800
ferreteria	Ferretería Hasbún Hnos.	Ferreterias	Eyzaguirre 701 SAN Bernardo - RM	NA	(56)228591855
ferreteria	Ferreteria Nueva Paris	Ferreterias	Av Vicuña Mackenna 261 SANTIAGO - RM	NA	(56)222222184
ferreteria	Ferreterias Jose Moreno	Ferreterias	Av Independencia 201 INDEPENDENCIA - RM	NA	(56)227771051
ferreteria	Proingas S.A.	Ferreterias	Pintor Cicarelli 575 SAN Joaquín - RM	www.proingas.cl	(56)224375280
ferreteria	Ferreteria y Deposito de Maderas Ulloa	Ferreterias	José Santos Ossa 1386 Coronel - VIII Región	www.null.cl	(56)412715947
ferreteria	Ferreteria Puchacay	Ferreterias	Sargento Aldea 1090 Florida - VIII Región	www.ferreteriapuchacay.cl	(56)412645585
ferreteria	Proveedora del Mueblista	Ferreterias	Castellón 815 Concepción - VIII Región	NA	(56)412934594
ferreteria	Ferreteria Comercial Rsm	Ferreterias	General Urrutia 965 Villarrica - IX Región	NA	(56)452431194
ferreteria	Ferreteria Su Casa	Ferreterias	5 290 Concón - V Región	NA	(56)322811572
ferreteria	Rios Barrientos Juan	Ferreterias	Sargento Aldea 1227 Aysén - XI Región	NA	(56)672332707
ferreteria	Ferreteria Marsan	Ferreterias	Hdo. de Magallanes 774 Punta Arenas - XII Región	NA	(56)612226511
